Team Name,Player Name,Number,Position,URL,Mugshot
Converge FiberXers,PatrickMaagdenberg,#4,C/F,https://www.pba.ph/players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
Converge FiberXers,PatrickMaagdenberg,#4,Center,https://www.pba.ph/players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
Meralco Bolts,AlleinMaliksi,#22,F,https://www.pba.ph/players/allein-maliksi,https://dashboard.pba.ph/assets/players/Maliksi23.png
San Miguel Beermen,John TroyMallilin,#4,F/G,https://www.pba.ph/players/john-troy-mallilin,https://dashboard.pba.ph/assets/players/Mallilin23.png
Barangay Ginebra San Miguel,JamieMalonzo,#3,C/F,https://www.pba.ph/players/jamie-malonzo,https://dashboard.pba.ph/assets/players/malonezo.png
Rain or Shine Elastopainters,GianMamuyac,#3,G,https://www.pba.ph/players/gian-mamuyac,https://dashboard.pba.ph/assets/players/Mamuyac23.png
Phoenix Fuel Masters,Sean PaulManganti,#2,F/G,https://www.pba.ph/players/sean-paul-manganti,https://dashboard.pba.ph/assets/players/Mangant23i.png
San Miguel Beermen,VicManuel,#87,F,https://www.pba.ph/players/vic-manuel,https://dashboard.pba.ph/assets/players/Manuel23.png
NLEX Road Warriors,DaveMarcelo,#22,C,https://www.pba.ph/players/dave-marcelo,https://dashboard.pba.ph/assets/players/Marcel23o.png
Converge FiberXers,AljunMelecio,#11,G,https://www.pba.ph/players/aljun-melecio,https://dashboard.pba.ph/assets/players/Melecio23.png
Meralco Bolts,Jose LorenzoMendoza,#10,F/G,https://www.pba.ph/players/jose-lorenzo-mendoza,https://dashboard.pba.ph/assets/players/noimage.png
Magnolia Chicken Timplados Hotshots,Jonathan JedMendoza,#65,F/G,https://www.pba.ph/players/jonathan-jed-mendoza,https://dashboard.pba.ph/assets/players/Mendoza23.png
Terrafirma Dyip,AllenMina,#29,Guard,https://www.pba.ph/players/allen-mina,https://dashboard.pba.ph/assets/players/Mina23.png
NLEX Road Warriors,MichaelMiranda,#2,C,https://www.pba.ph/players/michael-miranda,https://dashboard.pba.ph/assets/players/Miranda23.png
Phoenix Fuel Masters,JaveeMocon,#7,F,https://www.pba.ph/players/javee-mocon,https://dashboard.pba.ph/assets/players/Mocon23.png
TNT Tropang Giga,Kirell BrahndonMontalbo,#15,G,https://www.pba.ph/players/kirell-brahndon-montalbo,https://dashboard.pba.ph/assets/players/Montalbo23.png
North Port Batang Pier,JoshuaMunzon,#24,F/G,https://www.pba.ph/players/joshua-munzon,https://dashboard.pba.ph/assets/players/Munzon23.png
Phoenix Fuel Masters,LarryMuyang,#1,C/F,https://www.pba.ph/players/larry-muyang,https://dashboard.pba.ph/assets/players/Muyang23.png
Blackwater Elite,Rey BenedictNambatac,#27,G,https://www.pba.ph/players/rey-benedict-nambatac,https://dashboard.pba.ph/assets/players/24Nambatec.png
North Port Batang Pier,William RanielNavarro,#23,C/F,https://www.pba.ph/players/william-raniel-navarro,https://dashboard.pba.ph/assets/players/Navarro23.png
NLEX Road Warriors,Jhan McHaleNermal,#29,Forward,https://www.pba.ph/players/jhan-mchale-nermal,https://dashboard.pba.ph/assets/players/Ner23mal.png
NLEX Road Warriors,Jhan McHaleNermal,#29,F,https://www.pba.ph/players/jhan-mchale-nermal,http://se-img.dcd-production.i.geniussports.com/f26348e83df73308fc2b1948feceda71T1.png
Meralco Bolts,ChrisNewsome,#11,G,https://www.pba.ph/players/chris-newsome,https://dashboard.pba.ph/assets/players/Newsome23.png
NLEX Road Warriors,MatthewNieto,#31,guard,https://www.pba.ph/players/matthew-nieto,https://dashboard.pba.ph/assets/players/M_Nieto23.png
Converge FiberXers,Michael JosephNieto,#7,F/G,https://www.pba.ph/players/michael-joseph-nieto,https://dashboard.pba.ph/assets/players/Nieto23.png
Rain or Shine Elastopainters,Adrian ClarenceNocum,#1,,https://www.pba.ph/players/adrian-clarence-nocum,https://dashboard.pba.ph/assets/players/mensplaceholder.png
Rain or Shine Elastopainters,Gabriel DanielNorwood,#5,F/G,https://www.pba.ph/players/gabriel-daniel-norwood,https://dashboard.pba.ph/assets/players/Norwood23.png
TNT Tropang Giga,Calvin JohnOftana,#8,F,https://www.pba.ph/players/calvin-john-oftana,https://dashboard.pba.ph/assets/players/Oftana23.png
Terrafirma Dyip,Tommy YorkOlivario,#6,G,https://www.pba.ph/players/tommy-york-olivario,https://dashboard.pba.ph/assets/players/Olivario23.png
Barangay Ginebra San Miguel,SidneyOnwubere,#27,F,https://www.pba.ph/players/sidney-onwubere,https://dashboard.pba.ph/assets/players/shedne.png
North Port Batang Pier,BrentParaiso,#38,F/G,https://www.pba.ph/players/brent-paraiso,https://dashboard.pba.ph/assets/players/Paraiso23.png
Meralco Bolts,AlvinPasaol,#23,G,https://www.pba.ph/players/alvin-pasaol,https://dashboard.pba.ph/assets/players/Pasaol23.png
Meralco Bolts,Kyle NicholasPascual,#32,C/F,https://www.pba.ph/players/kyle-nicholas-pascual,https://dashboard.pba.ph/assets/players/K_Pascual23.png
NLEX Road Warriors,JakePascual,#22,F,https://www.pba.ph/players/jake-pascual,https://dashboard.pba.ph/assets/players/J_Pascu23al.png
San Miguel Beermen,JaymarPerez,#77,G,https://www.pba.ph/players/jaymar-perez,https://dashboard.pba.ph/assets/players/Perez.23png.png
Phoenix Fuel Masters,JasonPerkins,#0,F,https://www.pba.ph/players/jason-perkins,https://dashboard.pba.ph/assets/players/Perkins23.png
Barangay Ginebra San Miguel,VonPessumal,#19,G,https://www.pba.ph/players/von-pessumal,https://dashboard.pba.ph/assets/players/tessumal.png
Barangay Ginebra San Miguel,Nard JohnPinto,#17,G,https://www.pba.ph/players/nard-john-pinto,https://dashboard.pba.ph/assets/players/Pinto.png
TNT Tropang Giga,RogerPogoy,#16,F,https://www.pba.ph/players/roger-pogoy,https://dashboard.pba.ph/assets/players/Pogoy23.png
TNT Tropang Giga,JewelPonferada,#15,F,https://www.pba.ph/players/jewel-ponferada,https://dashboard.pba.ph/assets/players/Ponferrada.23png.png
Barangay Ginebra San Miguel,Stanley Jr.Pringle,#11,G,https://www.pba.ph/players/stanley-jr.-pringle,https://dashboard.pba.ph/assets/players/Pringle.png
Meralco Bolts,Kier JohnQuinto,#19,G,https://www.pba.ph/players/kier-john-quinto,https://dashboard.pba.ph/assets/players/Quinto23.png
Terrafirma Dyip,AldrechRamos,#17,F,https://www.pba.ph/players/aldrech-ramos,https://dashboard.pba.ph/assets/players/Ramos.23png.png
Magnolia Chicken Timplados Hotshots,RafiReavis,#4,C,https://www.pba.ph/players/rafi-reavis,https://dashboard.pba.ph/assets/players/Reavis23.png
TNT Tropang Giga,RyanReyes,#10,G,https://www.pba.ph/players/ryan-reyes,https://dashboard.pba.ph/assets/players/Reyes23.png
Meralco Bolts,JansenRios,#5,G,https://www.pba.ph/players/jansen-rios,https://dashboard.pba.ph/assets/players/Rios23.png
Phoenix Fuel Masters,Ricci PaoloRivero,#25,F/G,https://www.pba.ph/players/ricci-paolo-rivero,https://dashboard.pba.ph/assets/players/Rivero23.png
NLEX Road Warriors,RichieRodger,#1,PF,https://www.pba.ph/players/richie-rodger,https://dashboard.pba.ph/assets/players/Rodger23.png
NLEX Road Warriors,RichieRodger,#1,Forward,https://www.pba.ph/players/richie-rodger,https://dashboard.pba.ph/assets/players/Rodger23.png
San Miguel Beermen,TerrenceRomeo,#7,G,https://www.pba.ph/players/terrence-romeo,https://dashboard.pba.ph/assets/players/Romeo.23png.png
North Port Batang Pier,KrisRosales,#11,G,https://www.pba.ph/players/kris-rosales,https://dashboard.pba.ph/assets/players/Ro23sales_northport.png
Blackwater Elite,Jeth TroyRosario,#18,F,https://www.pba.ph/players/jeth-troy-rosario,https://dashboard.pba.ph/assets/players/Rosariotrey.png
San Miguel Beermen,ChrisRoss,#6,G,https://www.pba.ph/players/chris-ross,https://dashboard.pba.ph/assets/players/Ross23.png
Terrafirma Dyip,Mark LouieSangalang,#66,Forward,https://www.pba.ph/players/mark-louie-sangalang,https://dashboard.pba.ph/assets/players/mensplaceholder.png
Terrafirma Dyip,Mark LouieSangalang,#66,C/F,https://www.pba.ph/players/mark-louie-sangalang,http://se-img.dcd-production.i.geniussports.com/76d0f76e844f9b656ca0803971f2434eT1.png
Magnolia Chicken Timplados Hotshots,IanSangalang,#10,F,https://www.pba.ph/players/ian-sangalang,https://dashboard.pba.ph/assets/players/Sangalang23.png
Rain or Shine Elastopainters,LeonardSantillan,#25,C/F,https://www.pba.ph/players/leonard-santillan,https://dashboard.pba.ph/assets/players/Santillan23.png
Converge FiberXers,BryanSantos,#26,C/F,https://www.pba.ph/players/bryan-santos,https://dashboard.pba.ph/assets/players/Santos23.png
Converge FiberXers,BryanSantos,#26,Forward,https://www.pba.ph/players/bryan-santos,https://dashboard.pba.ph/assets/players/Santos23.png
NLEX Road Warriors,Anthony PaulSemerad,#33,F,https://www.pba.ph/players/anthony-paul-semerad,https://dashboard.pba.ph/assets/players/Semera23d.png
Blackwater Elite,James RyanSena,#15,F,https://www.pba.ph/players/james-ryan-sena,https://dashboard.pba.ph/assets/players/Senabike.png
Phoenix Fuel Masters,RaulSoyud,#44,C,https://www.pba.ph/players/raul-soyud,https://dashboard.pba.ph/assets/players/Soyud23.png
Barangay Ginebra San Miguel,Christian KarlStandhardinger,#34,C/F,https://www.pba.ph/players/christian-karl-standhardinger,https://dashboard.pba.ph/assets/players/Standhardinger.png
Converge FiberXers,Alec JuneStockton,#12,F/G,https://www.pba.ph/players/alec-june-stockton,https://dashboard.pba.ph/assets/players/Stockton23.png
Blackwater Elite,ReySuerte,#4,G,https://www.pba.ph/players/rey-suerte,https://dashboard.pba.ph/assets/players/Suerte233.png
North Port Batang Pier,PaoloTaha,#0,G,https://www.pba.ph/players/paolo-taha,https://dashboard.pba.ph/assets/players/P_Taha23.png
San Miguel Beermen,MoalaTautuaa,#33,C,https://www.pba.ph/players/moala-tautuaa,https://dashboard.pba.ph/assets/players/Tautuaa.png
San Miguel Beermen,JeronTeng,#21,G,https://www.pba.ph/players/jeron-teng,https://dashboard.pba.ph/assets/players/Teng.png
Barangay Ginebra San Miguel,Lewis AlfredTenorio,#5,G,https://www.pba.ph/players/lewis-alfred-tenorio,https://dashboard.pba.ph/assets/players/Tenio23rio.png
Barangay Ginebra San Miguel,ScottieThompson,#9,G,https://www.pba.ph/players/scottie-thompson,https://dashboard.pba.ph/assets/players/Thompson.png
Phoenix Fuel Masters,Christian TylerTio,#19,G,https://www.pba.ph/players/christian-tyler-tio,https://dashboard.pba.ph/assets/players/Tio23.png
Terrafirma Dyip,Juan MiguelTiongson,#3,G,https://www.pba.ph/players/juan-miguel-tiongson,https://dashboard.pba.ph/assets/players/Tiongso23n.png
North Port Batang Pier,Arvin DaveTolentino,#10,F,https://www.pba.ph/players/arvin-dave-tolentino,https://dashboard.pba.ph/assets/players/Tolentino23.png
Meralco Bolts,NorbertTorres,#29,C,https://www.pba.ph/players/norbert-torres,https://dashboard.pba.ph/assets/players/Torres23.png
Magnolia Chicken Timplados Hotshots,Abu JahalTratter,#2,F,https://www.pba.ph/players/abu-jahal-tratter,https://dashboard.pba.ph/assets/players/Tratter23.png
San Miguel Beermen,CeledonioTrollano,#8,F/G,https://www.pba.ph/players/celedonio-trollano,https://dashboard.pba.ph/assets/players/Troll23ano_SMB.png
Phoenix Fuel Masters,Kenneth JamesTuffin,#20,F/G,https://www.pba.ph/players/kenneth-james-tuffin,https://dashboard.pba.ph/assets/players/Tuffin23.png
Blackwater Elite,FrederickTungcab,#11,F/G,https://www.pba.ph/players/frederick-tungcab,https://dashboard.pba.ph/assets/players/24Tungcab.png
NLEX Road Warriors,RenatoUlar,#5,F,https://www.pba.ph/players/renato-ular,https://dashboard.pba.ph/assets/players/24Ular.png
NLEX Road Warriors,EnochValdez,#24,,https://www.pba.ph/players/enoch-valdez,https://dashboard.pba.ph/assets/players/23enoch.png
